"Rank","Player","Year","Pos","Status","Team From","Team From To","YRS","Value","AAV","GTDAT SIGN","GTDPRACTICAL","YR-1 CAP","YR-1 CASH",""
"","Bradley Beal","2022","SG","UFA","WAS","WAS","5","$251,019,650","$50,203,930","$251,019,650","$251,019,650","$43,279,250","$43,279,250",""
"","Zach LaVine","2022","SG","UFA","CHI","CHI","5","$215,159,700","$43,031,940","$215,159,700","$215,159,700","$37,096,500","$37,096,500",""
"","Deandre Ayton","2022","C","RFA","PHX","PHX","4","$132,929,128","$33,232,282","$132,929,128","$132,929,128","$30,913,750","$30,913,750",""
"","Jalen Brunson","2022","PG","UFA","DAL","NYK","4","$104,000,000","$26,000,000","$104,000,000","$104,000,000","$27,733,332","$27,733,332",""
"","Anfernee Simons","2022","SG","RFA","POR","POR","4","$100,000,000","$25,000,000","$100,000,000","$100,000,000","$22,321,429","$22,321,429",""
"","Luguentz Dort","2022","SG","RFA","OKC","OKC","5","$82,500,000","$16,500,000","$64,777,778","$64,777,778","$15,277,778","$15,277,778",""
"","Collin Sexton","2022","PG","RFA","CLE","UTA","4","$70,950,000","$17,737,500","$70,950,000","$70,950,000","$16,500,000","$16,500,000",""
"","Jusuf Nurkic","2022","C","UFA","POR","POR","4","$70,000,000","$17,500,000","$70,000,000","$70,000,000","$15,625,000","$15,625,000",""
"","James Harden","2022","SG","UFA","PHI","PHI","2","$68,640,000","$34,320,000","$68,640,000","$68,640,000","$33,000,000","$33,000,000",""
"","Mitchell Robinson","2022","C","UFA","NYK","NYK","4","$60,000,000","$15,000,000","$60,000,000","$60,000,000","$17,045,454","$17,045,454",""
"","Bobby Portis","2022","PF","UFA","MIL","MIL","4","$48,578,208","$12,144,552","$48,578,208","$48,578,208","$10,843,350","$10,843,350",""
"","Marvin Bagley III","2022","PF","RFA","DET","DET","3","$37,500,000","$12,500,000","$37,500,000","$37,500,000","$12,500,000","$12,500,000",""
"","Chris Boucher","2022","PF","UFA","TOR","TOR","3","$35,250,000","$11,750,000","$35,250,000","$35,250,000","$12,690,000","$12,690,000",""
"","P.J. Tucker","2022","PF","UFA","MIA","PHI","3","$33,043,500","$11,014,500","$33,043,500","$33,043,500","$10,490,000","$10,490,000",""
"","Cody Martin","2022","SF","RFA","CHA","CHA","4","$31,360,000","$7,840,000","$22,680,000","$22,680,000","$7,000,000","$7,000,000",""
"","Tyus Jones","2022","PG","UFA","MEM","MEM","2","$29,000,000","$14,500,000","$29,000,000","$29,000,000","$15,000,000","$15,000,000",""
"","Gary Payton II","2022","PG","UFA","GSW","POR","3","$26,145,000","$8,715,000","$26,145,000","$26,145,000","$8,300,000","$8,300,000",""
"","Nicolas Batum","2022","SF","UFA","LAC","LAC","2","$22,554,168","$11,277,084","$22,554,168","$22,554,168","$10,843,350","$10,843,350",""
"","Kevon Looney","2022","C","UFA","GSW","GSW","3","$22,500,000","$7,500,000","$17,500,000","$17,500,000","$7,000,000","$7,000,000",""
"","Jae’Sean Tate","2022","SF","RFA","HOU","HOU","3","$20,630,434","$6,876,811","$13,565,217","$13,565,217","$7,065,217","$7,065,217",""
"","Mohamed Bamba","2022","C","UFA","ORL","ORL","2","$20,600,000","$10,300,000","$10,300,000","$10,300,000","$10,300,000","$10,300,000",""
"","Caleb Martin","2022","SF","RFA","MIA","MIA","3","$20,408,850","$6,802,950","$20,500,000","$20,408,850","$6,479,000","$6,479,000",""
"","Malik Monk","2022","SG","UFA","LAL","SAC","2","$19,418,049","$9,709,025","$19,418,049","$19,418,049","$9,472,219","$9,472,219",""
"","Ricky Rubio","2022","PG","UFA","IND","CLE","3","$18,439,026","$6,146,342","$16,250,001","$16,250,001","$5,853,659","$5,853,659",""
"","Victor Oladipo","2022","SG","UFA","MIA","MIA","2","$18,200,000","$9,100,000","$18,200,000","$18,200,000","$9,450,000","$9,450,000",""
"","Kyle Anderson","2022","PF","UFA","MEM","MIN","2","$18,000,000","$9,000,000","$18,000,000","$18,000,000","$8,780,488","$8,780,488",""
"","Nicolas Claxton","2022","C","RFA","BKN","BKN","2","$17,250,000","$8,625,000","$17,250,000","$17,250,000","$8,500,000","$8,500,000",""
"","JaVale McGee","2022","C","UFA","PHX","DAL","3","$17,202,840","$5,734,280","$17,202,840","$17,202,840","$5,461,219","$5,461,219",""
"","Delon Wright","2022","PG","UFA","ATL","WAS","2","$16,000,000","$8,000,000","$16,000,000","$16,000,000","$7,804,878","$7,804,878",""
"","Isaiah Hartenstein","2022","C","UFA","LAC","NYK","2","$16,000,000","$8,000,000","$16,000,000","$16,000,000","$7,804,879","$7,804,879",""
"","Jalen Smith","2022","PF","UFA","IND","IND","3","$15,131,319","$5,043,773","$15,131,319","$15,131,319","$4,670,160","$4,670,160",""
"","Bruce Brown Jr.","2022","SG","UFA","BKN","DEN","2","$13,281,950","$6,640,975","$13,281,950","$13,281,950","$6,479,000","$6,479,000",""
"","John Wall","2022","PG","UFA","HOU","LAC","2","$13,281,950","$6,640,975","$6,479,000","$6,479,000","$6,479,000","$6,479,000",""
"","Patty Mills","2022","PG","UFA","BKN","BKN","2","$13,281,950","$6,640,975","$13,281,950","$13,281,950","$6,479,000","$6,479,000",""
"","Danilo Gallinari","2022","PF","UFA","SAS","BOS","2","$13,281,950","$6,640,975","$13,281,950","$13,281,950","$6,479,000","$6,479,000",""
"","Otto Porter Jr.","2022","SF","UFA","GSW","TOR","2","$12,300,000","$6,150,000","$12,300,000","$12,300,000","$6,000,000","$6,000,000",""
"","Donte DiVincenzo","2022","SG","UFA","SAC","GSW","2","$9,225,000","$4,612,500","$9,225,000","$9,225,000","$4,500,000","$4,500,000",""
"","Dewayne Dedmon","2022","C","UFA","MIA","MIA","2","$9,024,000","$4,512,000","$4,700,000","$4,700,000","$4,700,000","$4,700,000",""
"","Danuel House Jr.","2022","SF","UFA","UTA","PHI","2","$8,415,250","$4,207,625","$8,415,250","$8,415,250","$4,105,000","$4,105,000",""
"","Mike Muscala","2022","C","UFA","OKC","OKC","2","$7,000,000","$3,500,000","$3,500,000","$3,500,000","$3,500,000","$3,500,000",""
"","Vlatko Cancar","2022","PF","RFA","DEN","DEN","3","$6,815,324","$2,271,775","$4,468,718","$4,468,718","$2,234,359","$2,234,359",""
"","Andre Drummond","2022","C","UFA","BKN","CHI","2","$6,560,000","$3,280,000","$6,560,000","$6,560,000","$3,200,000","$3,200,000",""
"","Derrick Jones Jr.","2022","SF","UFA","CHI","CHI","2","$6,560,000","$3,280,000","$6,560,000","$6,560,000","$3,200,000","$3,200,000",""
"","Lonnie Walker IV","2022","SG","UFA","SAS","LAL","1","$6,479,000","$6,479,000","$6,479,000","$6,479,000","$6,479,000","$6,479,000",""
"","Joe Ingles","2022","SF","UFA","POR","MIL","1","$6,479,000","$6,479,000","$6,479,000","$6,479,000","$6,479,000","$6,479,000",""
"","Kevin Knox","2022","SF","UFA","ATL","DET","2","$6,000,000","$3,000,000","$6,000,000","$6,000,000","$3,000,000","$3,000,000",""
"","Jordan Nwora","2022","SF","RFA","MIL","MIL","2","$5,800,000","$2,900,000","$5,800,000","$5,800,000","$3,000,000","$2,800,000",""
"","Sam Hauser","2022","SF","UFA","BOS","BOS","3","$5,658,206","$1,886,069","$3,565,862","$3,565,862","$1,637,966","$1,637,966",""
"","Jericho Sims","2022","C","UFA","NYK","NYK","3","$5,658,206","$1,886,069","$2,889,146","$2,889,146","$1,637,966","$1,637,966",""
"","Montrezl Harrell","2022","C","UFA","CHA","PHI","2","$5,223,516","$2,611,758","$5,223,516","$5,223,516","$2,463,490","$2,463,490",""
"","Damian Jones","2022","C","UFA","SAC","LAL","2","$4,885,050","$2,442,525","$4,885,050","$4,885,050","$2,298,385","$2,298,385",""
"","DJ Wilson","2022","PF","UFA","TOR","TOR","2","$4,546,582","$2,273,291","$250,000","$250,000","$2,133,278","$2,133,278",""
"","Luke Kornet","2022","C","UFA","BOS","BOS","2","$4,546,582","$2,273,291","$100,000","$100,000","$2,133,278","$2,133,278",""
"","Bol Bol","2022","PF","UFA","ORL","ORL","2","$4,400,000","$2,200,000","$2,200,000","$2,200,000","$2,200,000","$2,200,000",""
"","Joe Wieskamp","2022","SF","RFA","SAS","SAS","2","$4,375,000","$2,187,500","$4,375,000","$4,375,000","$2,175,000","$2,175,000",""
"","Jevon Carter","2022","PG","UFA","MIL","MIL","2","$4,339,943","$2,169,972","$4,339,943","$4,339,943","$2,100,000","$2,100,000",""
"","Davon Reed","2022","SG","RFA","DEN","DEN","2","$3,968,718","$1,984,359","$1,902,133","$1,902,133","$1,902,133","$1,902,133",""
"","KZ Okpala","2022","SF","UFA","OKC","SAC","2","$3,968,718","$1,984,359","$250,000","$250,000","$1,902,133","$1,902,133",""
"","Anthony Gill","2022","PF","RFA","WAS","WAS","2","$3,833,328","$1,916,664","$3,833,328","$3,833,328","$1,836,090","$1,836,090",""
"","Nathan Knight","2022","PF","RFA","MIN","MIN","2","$3,833,328","$1,916,664","$350,000","$350,000","$1,836,090","$1,836,090",""
"","Kessler Edwards","2022","SF","UFA","BKN","BKN","2","$3,565,862","$1,782,931","$1,637,966","$1,637,966","$1,637,966","$1,637,966",""
"","Justin Champagnie","2022","SF","RFA","TOR","TOR","2","$3,565,862","$1,782,931","$325,000","$325,000","$1,637,966","$1,637,966",""
"","Bismack Biyombo","2022","C","UFA","PHX","PHX","1","$2,905,851","$2,905,851","$2,905,851","$2,905,851","$1,836,090","$2,905,851",""
"","Wesley Matthews","2022","SG","UFA","MIL","MIL","1","$2,905,851","$2,905,851","$2,905,851","$2,905,851","$1,836,090","$2,905,851",""
"","Robin Lopez","2022","C","UFA","ORL","CLE","1","$2,905,851","$2,905,851","$2,905,851","$2,905,851","$1,836,090","$2,905,851",""
"","DeAndre Jordan","2022","C","UFA","PHI","DEN","1","$2,905,851","$2,905,851","$2,905,851","$2,905,851","$1,836,090","$2,905,851",""
"","Serge Ibaka","2022","C","UFA","MIL","MIL","1","$2,905,851","$2,905,851","$2,905,851","$2,905,851","$1,836,090","$2,905,851",""
"","Taj Gibson","2022","C","UFA","NYK","WAS","1","$2,905,851","$2,905,851","$2,905,851","$2,905,851","$1,836,090","$2,905,851",""
"","Austin Rivers","2022","SG","UFA","DEN","MIN","1","$2,905,851","$2,905,851","$650,000","$650,000","$1,836,090","$2,905,851",""
"","Goran Dragic","2022","PG","UFA","BKN","CHI","1","$2,905,851","$2,905,851","$2,905,851","$2,905,851","$1,836,090","$2,905,851",""
"","Udonis Haslem","2022","PF","UFA","MIA","MIA","1","$2,905,851","$2,905,851","$2,905,851","$2,905,851","$1,836,090","$2,905,851",""
"","Andre Iguodala","2022","SF","UFA","GSW","GSW","1","$2,905,851","$2,905,851","$0","$0","$1,836,090","$2,905,851",""
"","Blake Griffin","2022","PF","UFA","BKN","BOS","1","$2,905,851","$2,905,851","$0","$0","$1,836,090","$2,905,851",""
"","Gorgui Dieng","2022","C","UFA","ATL","SAS","1","$2,641,682","$2,641,682","$2,641,682","$2,641,682","$1,836,090","$2,641,682",""
"","Dennis Schröder","2022","PG","UFA","HOU","LAL","1","$2,641,682","$2,641,682","$2,641,682","$2,641,682","$1,836,090","$2,641,682",""
"","T.J. Warren","2022","SF","UFA","IND","BKN","1","$2,628,597","$2,628,597","$2,628,597","$2,628,597","$1,836,090","$2,628,597",""
"","Matthew Dellavedova","2022","PG","UFA","CLE","SAC","1","$2,628,597","$2,628,597","$0","$250,000","$1,836,090","$2,628,597",""
"","JaMychal Green","2022","PF","UFA","OKC","GSW","1","$2,628,597","$2,628,597","$2,628,597","$2,628,597","$1,836,090","$2,628,597",""
"","Raul Neto","2022","PG","UFA","WAS","CLE","1","$2,463,490","$2,463,490","$2,463,490","$2,463,490","$1,836,090","$2,463,490",""
"","Frank Kaminsky","2022","C","UFA","PHX","ATL","1","$2,463,490","$2,463,490","$2,463,490","$2,463,490","$1,836,090","$2,463,490",""
"","Bryn Forbes","2022","SG","UFA","DEN","MIN","1","$2,298,385","$2,298,385","$2,298,385","$2,298,385","$1,836,090","$2,298,385",""
"","Juancho Hernangomez","2022","PF","UFA","UTA","TOR","1","$2,298,385","$2,298,385","$2,298,385","$2,298,385","$1,836,090","$2,298,385",""
"","Rodney McGruder","2022","SG","UFA","DET","DET","1","$2,298,385","$2,298,385","$2,298,385","$2,298,385","$1,836,090","$2,298,385",""
"","Damion Lee","2022","SG","UFA","GSW","PHX","1","$2,133,278","$2,133,278","$2,133,278","$2,133,278","$1,836,090","$2,133,278",""
"","Thomas Bryant","2022","C","UFA","WAS","LAL","1","$2,133,278","$2,133,278","$2,133,278","$2,133,278","$1,836,090","$2,133,278",""
"","Josh Jackson","2022","SG","UFA","SAC","TOR","1","$2,133,278","$2,133,278","$0","$0","$1,836,090","$2,133,278",""
"","Troy Brown Jr.","2022","SF","UFA","CHI","LAL","1","$1,968,185","$1,968,185","$1,968,185","$1,968,185","$1,836,099","$1,968,185",""
"","Josh Okogie","2022","SG","UFA","MIN","PHX","1","$1,968,175","$1,968,175","$1,968,175","$1,968,175","$1,836,090","$1,968,175",""
"","Aaron Holiday","2022","PG","UFA","PHX","ATL","1","$1,968,175","$1,968,175","$1,968,175","$1,968,175","$1,836,090","$1,968,175",""
"","Theo Pinson","2022","SG","RFA","DAL","DAL","1","$1,968,175","$1,968,175","$1,968,175","$1,968,175","$1,836,090","$1,968,175",""
"","Drew Eubanks","2022","C","UFA","POR","POR","1","$1,968,175","$1,968,175","$1,968,175","$1,968,175","$1,836,090","$1,968,175",""
"","Juan Toscano-Anderson","2022","SF","UFA","GSW","LAL","1","$1,902,133","$1,902,133","$1,902,133","$1,902,133","$1,836,090","$1,902,133",""
"","Facundo Campazzo","2022","PG","UFA","DEN","DAL","1","$1,836,090","$1,836,090","$0","$0","$1,836,090","$1,836,090",""
"","Trevelin Queen","2022","SG","UFA","HOU","IND","1","$0","$0","$0","$0","$0","$0",""
"","R.J. Nembhard","2022","PG","RFA","CLE","CLE","1","$0","$0","$0","$0","$0","$0",""
"","Neemias Queta","2022","C","RFA","SAC","SAC","1","$0","$0","$0","$0","$0","$0",""
"","Quinndary Weatherspoon","2022","SG","RFA","GSW","GSW","1","$0","$0","$0","$0","$0","$0",""
"","Admiral Schofield","2022","SF","RFA","ORL","ORL","1","$0","$0","$0","$0","$0","$0",""
"","Duane Washington Jr.","2022","PG","UFA","IND","PHX","1","$0","$0","$0","$0","$0","$0",""
"","Ishmail Wainright","2022","SF","UFA","PHX","PHX","1","$0","$0","$0","$0","$0","$0",""
"","Trent Forrest","2022","PG","UFA","UTA","ATL","1","$0","$0","$0","$0","$0","$0",""
"","Jarrett Culver","2022","SG","UFA","MEM","ATL","1","$0","$0","$0","$0","$0","$0",""
"","David Duke Jr.","2022","SG","RFA","BKN","BKN","1","$0","$0","$0","$0","$0","$0",""
"","Bruno Fernando","2022","C","UFA","HOU","HOU","1","$0","$0","$0","$0","$0","$0",""
"","Lindell Wigginton","2022","SG","UFA","MIL","MIL","2","$0","$0","$0","$0","$0","$0",""
"","Xavier Moon","2022","SG","UFA","LAC","LAC","1","$0","$0","$0","$0","$0","$0",""
"","Gabe York","2022","SG","UFA","IND","IND","1","$0","$0","$0","$0","$0","$0",""