"Rank","Team","Players","YRS","Value","AAV","GTDAT SIGN","GTDPRACTICAL","YR-1 CAP","YR-1 CASH",""
"","Denver Nuggets","6","16","$213,050,858","$13,315,679","$0","$204,677,122","$1,042,584","$1,650,024",""
"","Los Angeles Lakers","6","9","$184,655,733","$20,517,304","$5,184,358","$184,655,733","$5,016,566","$5,908,994",""
"","Oklahoma City Thunder","4","10","$170,397,524","$17,039,752","$139,305,823","$170,397,524","$32,073,301","$32,954,587",""
"","Houston Rockets","5","9","$168,970,039","$18,774,449","$0","$166,791,195","$1,562,310","$1,671,124",""
"","Chicago Bulls","3","6","$99,349,383","$16,558,231","$0","$98,000,000","$0","$0",""
"","Orlando Magic","2","8","$85,999,003","$10,749,875","$0","$76,500,000","$0","$0",""
"","Utah Jazz","4","10","$79,941,515","$7,994,152","$27,300,000","$50,341,515","$9,600,000","$9,600,000",""
"","Golden State Warriors","3","4","$69,013,260","$17,253,315","$65,500,000","$69,013,260","$34,000,000","$34,000,000",""
"","Boston Celtics","3","8","$65,584,394","$8,198,049","$1,349,383","$61,996,263","$1,349,383","$1,349,383",""
"","Portland Trail Blazers","3","6","$52,416,415","$8,736,069","$1,621,415","$44,416,415","$1,512,601","$1,621,415",""
"","LA Clippers","5","8","$48,538,614","$6,067,327","$4,620,500","$34,941,000","$5,669,883","$5,669,883",""
"","San Antonio Spurs","5","8","$45,074,200","$5,634,275","$8,487,000","$44,574,200","$5,612,000","$5,612,000",""
"","Memphis Grizzlies","3","6","$41,362,023","$6,893,671","$0","$41,362,023","$0","$0",""
"","Indiana Pacers","3","5","$38,849,000","$7,769,800","$0","$38,749,000","$3,750,000","$3,595,506",""
"","Dallas Mavericks","4","4","$31,858,094","$7,964,524","$0","$31,858,094","$0","$0",""
"","Milwaukee Bucks","4","7","$29,503,479","$4,214,783","$3,929,768","$20,746,050","$3,511,055","$3,964,147",""
"","Brooklyn Nets","4","7","$27,394,681","$3,913,526","$75,000","$23,904,023","$7,524,273","$7,524,273",""
"","New Orleans Pelicans","5","6","$26,187,545","$4,364,591","$0","$20,764,050","$3,025,202","$3,906,488",""
"","Toronto Raptors","6","7","$25,998,263","$3,714,038","$800,000","$20,965,481","$5,723,968","$5,832,782",""
"","Sacramento Kings","1","3","$20,475,000","$6,825,000","$0","$13,325,000","$0","$0",""
"","Phoenix Suns","2","2","$17,393,887","$8,696,944","$0","$17,393,887","$0","$0",""
"","Philadelphia 76ers","2","2","$14,643,887","$7,321,944","$2,393,887","$14,643,887","$1,512,601","$2,393,887",""
"","Washington Wizards","2","3","$13,334,737","$4,444,912","$0","$13,334,737","$0","$0",""
"","Cleveland Cavaliers","3","4","$11,866,774","$2,966,694","$0","$5,866,774","$3,000,000","$3,000,000",""
"","Miami Heat","3","4","$11,821,845","$2,955,461","$6,000,000","$10,176,488","$6,000,000","$6,000,000",""
"","Atlanta Hawks","2","3","$10,903,887","$3,634,629","$0","$10,903,887","$0","$0",""
"","Minnesota Timberwolves","3","3","$10,537,774","$3,512,591","$8,143,887","$10,537,774","$7,262,601","$8,143,887",""
"","Charlotte Hornets","1","2","$10,000,000","$5,000,000","$10,000,000","$10,000,000","$5,000,000","$5,000,000",""
"","Detroit Pistons","3","3","$8,862,774","$2,954,258","$6,403,652","$8,862,774","$5,546,382","$5,546,382",""
"","New York Knicks","2","2","$3,240,675","$1,620,338","$1,619,260","$1,619,260","$1,619,260","$1,619,260",""